ABSI	3.2	2.0	0.5	0.0	0.0	2.0	0.0	0.0	7
AAPL	2.5	1.0	1.5	0.0	0.5	0.5	0.0	0.0	7
AAON	3.9	1.5	1.0	1.0	0.5	1.0	0.5	0.0	7
ACET	3.6	1.5	0.5	1.0	0.0	0.5	1.0	0.5	7
ABEO	2.9	1.5	0.0	0.0	0.0	1.5	0.5	0.5	7
ACAD	1.8	1.0	0.0	0.0	0.0	1.0	0.0	0.5	7
ACIC	3.9	0.0	2.0	0.0	0.5	1.0	1.0	1.0	7
ACT	3.2	0.0	1.0	0.0	0.0	1.5	0.0	2.0	7
ADMA	2.9	0.5	1.0	0.0	0.5	2.0	0.0	0.0	7
ADBE	2.9	1.5	0.5	0.0	0.5	1.0	0.5	0.0	7
ADV	5.0	2.0	0.0	0.0	2.0	1.0	0.5	1.5	7
ADSK	2.9	1.5	0.5	0.0	1.0	1.0	0.0	0.0	7
AEIS	2.1	1.5	0.0	0.0	1.0	0.5	0.0	0.0	7
AEVA	5.0	2.0	0.5	0.0	2.0	1.0	0.5	1.0	7
AFYA	3.2	0.0	1.0	0.0	0.5	1.0	1.0	1.0	6
AGMB	3.9	1.0	0.5	0.0	0.0	1.5	1.0	1.5	6
AGNT	5.4	2.0	2.0	0.0	1.0	2.0	0.5	0.0	6
AIFC	4.3	2.0	1.5	0.0	0.0	2.0	0.5	0.0	7
AIP	2.1	2.0	0.0	0.0	0.0	1.0	0.0	0.0	7
AIXC	3.2	0.5	1.0	0.0	1.0	0.0	2.0	0.0	6
ALGM	3.9	2.0	0.5	0.0	0.5	1.5	0.5	0.5	7
ALCO	3.2	1.0	0.0	0.0	1.0	1.5	0.5	0.5	7
ALHC	4.3	1.0	2.0	1.0	1.0	1.0	0.0	0.0	7
ALLO	2.5	0.0	1.0	0.0	0.0	2.0	0.0	0.5	7
ALMS	2.5	0.5	1.0	0.0	0.0	1.5	0.0	0.5	7
ALTO	1.1	0.0	0.0	0.0	0.5	1.0	0.0	0.0	7
ALRM	2.1	0.5	0.5	0.0	0.5	1.5	0.0	0.0	7
AMAL	3.6	0.5	1.0	0.0	1.0	1.5	0.5	0.5	6
