HLVX US CVR	HLVX US merger CVR	0.00			CVR	NOT_TRADEABLE
HOLX.CVR	HOLX Merger CVR	0.00			CVR	NOT_TRADEABLE
HAFC	Hanmi Financial Corporation	31.98	34.00	34.67	36.00	OK	TRADEABLE
HAIN	Hain Celestial	0.56	0.50	1.44	3.00	OK	TRADEABLE
HALO	Halozyme Therapeutics Inc	115.13	93.00	103.83	115.00	OK	TRADEABLE
HAPN	Happen Inc	16.01	22.00	24.40	25.00	OK	TRADEABLE
HAS	Hasbro Inc	86.91	90.00	106.83	117.00	OK	TRADEABLE
HBAN	Huntington Bancshares Inc	15.69	18.50	19.80	21.00	OK	TRADEABLE
HBNC	Horizon Bancorp Inc	19.18	23.00	23.00	23.00	OK	TRADEABLE
HBT	Hbt Financial Inc/De	35.42	34.00	37.67	41.00	OK	TRADEABLE
HCAT	Health Catalyst Inc	1.89	1.80	1.90	2.00	OK	TRADEABLE
HCKT	The Hackett Group Inc	10.45	16.00	16.50	17.00	OK	TRADEABLE
HCM	HUTCHMED China Limited	14.07	14.00	14.00	14.00	OK	TRADEABLE
HCSG	Healthcare Services Group Inc	21.57	28.00	29.00	30.00	OK	TRADEABLE
HDSN	Hudson Technologies Inc	5.23	7.25	7.63	8.00	OK	TRADEABLE
HELE	Helen of Troy Limited	29.49	25.00	25.00	25.00	OK	TRADEABLE
HEPS	D-Market Elektronik Hizmetler Ve Ticaret As	2.56				NOFAQ	TRADEABLE
HFWA	Heritage Financial Corporation	28.22	32.00	32.75	34.00	OK	TRADEABLE
HIFS	Hingham Institution for Savings	304.20				NOFAQ	TRADEABLE
HIMX	Himax Technologies Inc-ADR	14.71	43.00	43.00	43.00	OK	TRADEABLE
HIVE	Hive Digital Technologies Ltd	3.54	4.50	6.83	10.00	OK	TRADEABLE
HLIT	Harmonic Inc	11.29	15.00	16.50	18.00	OK	TRADEABLE
HLMN	Hillman Solutions Corp	7.25	11.00	12.50	14.00	OK	TRADEABLE
HLNE	Hamilton Lane Incorporated	87.60	94.00	133.50	181.00	OK	TRADEABLE
HMH	HMH Holding Inc.	18.58	24.00	28.00	32.00	OK	TRADEABLE
HNRG	Hallador Energy Company	15.07	28.00	28.00	28.00	OK	TRADEABLE
HNST	Honest Co Inc/The	5.41	5.70	5.70	5.70	OK	TRADEABLE
HOFT	Hooker Furnishings Corporation	13.24				NOFAQ	TRADEABLE
HOLO	Microcloud Hologram	1.78				NOFAQ	NOT_TRADEABLE
HON	Honeywell International Inc	211.85	255.00	265.86	293.00	OK	TRADEABLE
HONA	Honeywell Aerospace Inc	167.32	175.00	225.09	275.00	OK	TRADEABLE
HOOD	Robinhood Markets Inc.	124.25	100.00	134.00	165.00	OK	TRADEABLE
HOPE	Hope Bancorp Inc	13.78	15.00	15.50	16.00	OK	TRADEABLE
HOVR	New Horizon Aircraft Ltd	1.77				NOFAQ	TRADEABLE
HOWL	Werewolf Therapeutics Inc	0.98				NOFAQ	TRADEABLE
HPAI	Helport AI Limited	0.29				NOFAQ	TRADEABLE
HPK	HighPeak Energy Inc	7.79	10.00	10.00	10.00	OK	TRADEABLE
HQ	Horizon Quantum Holdings Ltd	15.74	20.00	20.50	21.00	OK	TRADEABLE
HQY	HealthEquity Inc	91.75	110.00	123.00	142.00	OK	TRADEABLE
HRMY	Harmony Biosciences Holdings Inc	41.53	30.00	44.50	60.00	OK	TRADEABLE
HROW	Harrow Inc	34.45	59.00	66.00	88.00	OK	TRADEABLE
HRTX	Heron Therapeutics Inc	0.30				NOFAQ	TRADEABLE
HRZN	Horizon Technology Finance Corporation	4.65	4.25	4.85	6.00	OK	TRADEABLE
HSAI	Hesai Group	17.10	29.30	29.30	29.30	OK	TRADEABLE
HSIC	Henry Schein Inc	87.43	94.00	102.43	110.00	OK	TRADEABLE
HSPOF	Horizon Space Acquisition I	11.99				NOFAQ	TRADEABLE
HST	Host Hotels & Resorts Inc	22.28	22.00	24.81	27.00	OK	TRADEABLE
HSTM	HealthStream Inc	29.01	29.00	29.00	29.00	OK	TRADEABLE
HTFL	Heartflow Inc	50.17	34.00	42.80	56.00	OK	TRADEABLE
HTHT	Huazhu Group Ltd-ADR	43.33	65.40	65.40	65.40	OK	TRADEABLE
HTLD	Heartland Express Inc	11.83	12.00	12.33	13.00	OK	TRADEABLE
HTO	H2O America	62.92	60.00	65.67	70.00	OK	TRADEABLE
HUBG	Hub Group Inc	32.06	35.00	37.50	40.00	OK	TRADEABLE
HUMA	Humacyte Inc	0.58	1.00	2.06	4.00	OK	TRADEABLE
HURN	Huron Consulting Group Inc	157.86	213.00	213.00	213.00	OK	TRADEABLE
HUT	Hut 8 Mining Corp	106.61	120.00	166.62	273.00	OK	TRADEABLE
HWC	Hancock Whitney Corp	73.57	80.00	84.71	87.00	OK	TRADEABLE
HWH	HWH International Inc	2.68				NOFAQ	TRADEABLE
HWKN	Hawkins Inc	124.55	200.00	200.00	200.00	OK	TRADEABLE
HYFM	Hydrofarm Holdings Group Inc.	1.00				NOFAQ	TRADEABLE
HYMC	Hycroft Mining Holding Corporation	22.69	28.00	28.00	28.00	OK	TRADEABLE
HYZN	Hyzon Motors Inc.	0.6399				NOFAQ	NOT_TRADEABLE
